BSNL SSA,DISTRICT,LOCATION,PS/HO,PHASE,Router,VoIP,Video Conference,Primary Link,Secondary Link,DATE,Landline No.,STATUS,USER-ID,STATIC-IP,
DHN,Bokaro,B.T.P.S,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,27-04-13,06549-2266101,Commissioned,dhn_65492266101@jkd.cctns.in,10.17.150.49,
DHN,Bokaro,Petarwar ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,14-04-13,06549-265100,Commissioned,dhn_6542265100@jkd.cctns.in,10.17.150.41,
DHN,Bokaro,Kasmar ,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,14-04-13,06542-263040,Commissioned,dhn_6542263040@jkd.cctns.in,10.17.150.40,
DHN,Bokaro,Chandankiyari  ,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,04-10-13,06542-230700,Commissioned,dhn_6542230700@jkd.cctns.in,10.17.150.39,
DHN,Bokaro,Jaridih,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,15-04-13,06542-250100,Commissioned,dhn_6542250100@jkd.cctns.in,10.17.150.46,
DHN,Bokaro,Bermo,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,30-04-13,06549-220524,Commissioned,dhn_6549220524@jkd.cctns.in,10.17.150.47,
DHN,Bokaro,Dugdha ,PS,2,1900+800,No,No,VPNoBB,VPNODongal-JIO,05-03-13,06549-244032,Commissioned,dhn_6549244032@jkd.cctns.in,10.17.150.69,
DHN,Bokaro,Chandarapura  ,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,05-06-13,06549-242131,Commissioned,dhn_6549242131@jkd.cctns.in,10.17.150.68,
DHN,Bokaro,Marafari  ,PS,2,,No,Yes,VPNoBB,VPNODongal-JIO,05-07-13,06542-242050,Commissioned,dhn_6542242050@jkd.cctns.in,10.17.150.43,
DHN,Bokaro,Nawadih ,PS,2,1900+800,No,Yes,VPNoBB,VPNODongal-JIO,05-11-13,06549-233010,Commissioned,dhn_6549233010@jkd.cctns.in,10.17.150.70,
DHN,Bokaro,Bhojudih Rail,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,29-05-13,06542-230100,Commissioned,dhn_6542230100@jkd.cctns.in,10.17.150.73,
DHN,Bokaro,Chandrapura Rail,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,21-05-13,06549-242188,Commissioned,dhn_6549242188@jkd.cctns.in,10.17.150.71,
DHN,Bokaro,Gomia Rail,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,13-06-13,06544-261005,Commissioned,dhn_6544261005@jkd.cctns.in,10.17.150.80,
DHN,Bokaro,Gomia ,PS,2,1900+800,No,Yes,VPNoBB,VPNODongal-JIO,13-06-13,06544-261044,Commissioned,dhn_6544261044@jkd.cctns.in,10.17.150.81,
